00 - 01	13,21	97,53	107,21	64,89	82,03	130,01	61,38	0,00
01 - 02	10,44	98,19	101,10	58,57	72,22	120,00	52,68	-0,10
02 - 03	10,26	94,91	96,73	68,07	43,91	118,76	52,93	-1,33
03 - 04	4,16	78,04	81,37	27,68	16,28	115,00	42,75	-4,08
04 - 05	4,16	74,46	75,75	37,33	8,56	113,63	50,08	-4,16
05 - 06	4,16	65,13	81,00	65,10	20,98	116,27	67,91	-3,58
06 - 07	10,63	71,75	97,45	95,05	72,45	138,92	105,08	-4,37
07 - 08	16,47	89,37	107,82	137,96	105,10	159,92	140,64	-0,12
08 - 09	51,04	110,90	122,80	137,99	134,16	169,17	149,80	-0,06
09 - 10	83,31	113,96	138,27	142,99	129,30	171,18	154,66	0,00
10 - 11	93,99	100,00	139,97	145,70	120,70	168,57	145,61	0,00
11 - 12	103,87	88,32	131,72	145,80	96,77	169,49	143,35	0,00
12 - 13	101,69	87,90	122,22	142,35	105,03	164,50	144,38	0,00
13 - 14	99,00	68,84	116,09	143,32	106,00	160,91	143,76	0,10
14 - 15	104,29	91,21	129,22	151,03	105,07	163,06	148,20	1,50
15 - 16	97,89	82,96	137,20	159,48	103,90	166,46	155,34	23,50
16 - 17	96,20	85,07	140,75	172,73	107,98	166,88	163,17	36,54
17 - 18	115,64	100,48	155,93	183,90	129,82	171,23	173,80	46,03
18 - 19	122,61	103,82	163,50	194,67	167,29	169,01	174,74	44,43
19 - 20	109,66	98,93	146,74	177,98	160,60	160,99	165,76	54,95
20 - 21	104,68	90,98	139,40	163,99	132,10	149,62	153,00	47,38
21 - 22	98,87	64,88	132,00	152,00	110,82	131,50	141,67	40,24
22 - 23	99,35	53,27	129,94	144,64	109,89	115,10	134,91	45,96
23 - 00	81,27	40,25	121,38	127,00	104,75	95,02	124,22	35,00

00 - 01	60,01	25,00	80,00	36,58	37,79	7,41	105,98	75,13
01 - 02	60,01	17,08	73,50	22,21	13,19	0,89	96,79	64,38
02 - 03	62,72	13,94	65,91	15,39	10,00	1,15	95,31	60,28
03 - 04	56,10	4,16	49,95	5,03	6,27	0,08	90,19	39,41
04 - 05	63,30	3,10	45,37	5,98	7,60	0,08	95,60	35,94
05 - 06	87,00	4,16	45,00	28,91	30,02	5,53	108,60	43,99
06 - 07	154,63	4,16	48,23	58,92	91,12	64,37	138,84	85,26
07 - 08	175,11	5,00	59,39	92,58	118,91	99,99	157,20	160,32
08 - 09	185,99	16,18	60,65	111,33	120,99	142,35	181,67	180,00
09 - 10	170,00	26,73	68,71	106,03	120,00	145,72	177,94	177,27
10 - 11	166,29	31,49	63,99	98,74	102,84	135,46	158,58	159,56
11 - 12	155,99	39,77	69,55	91,17	100,91	132,59	148,51	161,21
12 - 13	147,98	39,41	67,64	82,89	91,28	121,71	143,13	140,56
13 - 14	142,88	28,63	46,90	76,14	92,40	111,17	143,63	135,87
14 - 15	143,32	34,02	47,13	77,96	100,68	116,81	146,48	136,58
15 - 16	146,83	36,96	37,86	84,33	102,43	118,92	147,50	148,50
16 - 17	151,57	22,91	42,97	90,14	102,30	122,49	143,16	161,21
